N,Model,Precision,Recall,NDCG
1,II,0.190982,0.190982,0.190982
2,II,0.211029,0.209981,0.209981
3,II,0.215671,0.213680,0.212642
4,II,0.215498,0.212620,0.212131
5,II,0.213559,0.209844,0.210513
6,II,0.211899,0.207377,0.209000
7,II,0.209914,0.204614,0.207270
8,II,0.207396,0.201336,0.205202
9,II,0.205200,0.198381,0.203268
10,II,0.203384,0.195807,0.201515
11,II,0.201477,0.193151,0.199694
12,II,0.199721,0.190623,0.197925
13,II,0.198179,0.188317,0.196266
14,II,0.196542,0.185961,0.194565
15,II,0.195011,0.183804,0.192966
16,II,0.193556,0.181868,0.191489
17,II,0.191988,0.180052,0.190074
18,II,0.190638,0.178733,0.188956
19,II,0.189255,0.177786,0.188064
20,II,0.187930,0.177393,0.187509
