N,BPR,WARP,WARP-KOS
1,0.09048537,0.12477772,0.11895625
2,0.091617845,0.12426296,0.118974976
3,0.09188302,0.12311801,0.11878155
4,0.09234319,0.12283567,0.11759448
5,0.09204277,0.12215339,0.11735769
6,0.09148992,0.12109328,0.11679427
7,0.090675235,0.120378874,0.11623673
8,0.09033328,0.11953419,0.11530848
9,0.08984688,0.11865261,0.11457821
10,0.0889542,0.118003495,0.1141718
11,0.08825447,0.11732945,0.1135466
12,0.08763235,0.11679115,0.1127339
13,0.086782,0.11607361,0.11211104
14,0.086058445,0.11543717,0.111336485
15,0.08542639,0.11460109,0.1106153
16,0.08466859,0.11404849,0.10989766
17,0.084038496,0.11326252,0.109311804
18,0.08335258,0.11256492,0.10871099
19,0.08259403,0.11191513,0.10819015
20,0.08187017,0.11124797,0.10767647
