N,BPR,WARP,WARP-KOS
1,0.0043377590614903875,0.005927040240085844,0.005550774063214231
2,0.008705371644296588,0.01174102761286307,0.011093957554691522
3,0.013074858632975335,0.017420011236452093,0.0166421955562254
4,0.017497193505356536,0.02310019207776835,0.021965924404411485
5,0.021772693390839606,0.02870077102237271,0.027424139814214783
6,0.025974901086778246,0.03411011305400833,0.03276161733168714
7,0.02997536622754054,0.03954033247849571,0.03801677270187685
8,0.034085992243202475,0.044862039771845656,0.04307683324492163
9,0.03807412990988838,0.05008543748813365,0.048127319393600106
10,0.04182710208249106,0.05524036301012716,0.05324427294287492
11,0.04562213103726275,0.060444957881032144,0.058227268033911074
12,0.04937377306326439,0.06556289203809133,0.06306676297461354
13,0.05292572598655781,0.07053792156868773,0.06792403191130401
14,0.05644999012314208,0.07552198662314259,0.07263358456229653
15,0.059998342933413745,0.08028684714809836,0.07727358613189783
16,0.06338139606612295,0.085170114438682,0.08183465117590882
17,0.06680204950394206,0.08982965645119664,0.08648037439464051
18,0.07008998387603206,0.09448594287979158,0.09105730584137965
19,0.07328427353765884,0.09911443033392611,0.09563711602797514
20,0.07642698071524025,0.10364990985783115,0.10018337477741865
